ID,Who,Precondition,I want to...,In order to...,Notes
O1,User,Online,Pre-cache morphology for a text or page,Have immediate access to all morphology for a text while offline,
O2,User,Online,Pre-cache short definitions for a text or page,Have immediate access to all short definitions for a text or page while offline,
O3,User,Online,Pre-cache tree diagrams for a text or page,Have immediate access to tree diagrams for a text or page while offline,
O4,User,Online,Pre-cache a grammar,Have immediate access to a grammar while offline,
O5,User,Offline,Access full definitions I have previously viewed while online, access full definitions while offline,
O6,User,Offline,Access pre-cached morphology,access morphology while offline,
O7,User,Offline,Access pre-cached short definitions,access short definitions while offline,
O8,User,Offline and annotated text,Access pre-cached tree diagram,access tree diagrams while offline,
O9,User,Offline,Access pre-cached grammar,access grammar while offline,
O10,User,Offline,Access pre-cached inflection-tables,access inflection tables while offline,

