ID,Who,Precondition,I want to...,In order to...,Notes
T1,User,,Browse available texts,Find a text to read,
T2,User,,Select a text to read,Access a text to read,
T3,User,,Read a text,Read a text,
T4,User,,Navigate a table of contexts for a text,Read a specific portion of a text,
T5,User,Logged in,Bookmark my place in a text, Save a marker at a specific point in a text,see also auth user stories
T6,User,Logged in,Pick up reading at a bookmarked place in a text, return to a specific point in a text,see also auth user stories
T7,User,,Search for a word in a text,find all uses of a word in a text,
T8,User,,Search for a word across multiple texts,find all uses of a word across multiple texts,
T9,User,Logged in,Upload my own text,make a text available for use with Alpheios,see also auth user stories

